speaker,word,time,time_norm,point,f1,f2,f3,pitch,sentence_norm
lm01,sach,222.95,0.033275260420651875,3,818.6386402163176,1704.9345044206973,2063.3001739749197,--undefined--,ul sach l' è pien
lm01,sach,222.95,0.0443670138942025,4,863.4802105929605,1555.4885116029932,1991.944632085248,275.71578429046025,ul sach l' è pien
lm01,sach,222.95,0.055458767367753126,5,955.1893409049796,1211.5222117146695,1667.4766188656467,265.47288024460914,ul sach l' è pien
lm01,sach,222.95,0.06655052084130375,6,970.5331143475983,1321.0101624330462,1557.3866449220577,254.83289996354227,ul sach l' è pien
lm01,sach,222.95,0.07764227431485438,7,956.633034739654,1417.2706423642398,1866.2678804210218,235.65215795623254,ul sach l' è pien
lm01,sach,222.95,0.088734027788405,8,993.5465306034023,1348.6411088073073,1807.938680085339,226.051852332219,ul sach l' è pien
lm01,sach,222.95,0.09982578126195563,9,1015.5074814813175,1552.1416437886562,1698.9002264930346,216.7887432557817,ul sach l' è pien
lm01,sach,222.95,0.11091753473550625,10,929.2213584186491,1514.0201646673784,1816.0677088738182,206.23318268864406,ul sach l' è pien
lm01,figh,225.474943,0.010774412666535227,1,335.5685327622745,2497.804631328012,2823.915875361615,277.5743624949066,ul figh l' è dulz
lm01,figh,225.474943,0.021548825333042032,2,356.2321762925059,2752.858584962776,3562.245127137961,278.0841920309548,ul figh l' è dulz
lm01,figh,225.474943,0.03232323799957726,3,343.8865671939391,1803.5175553649954,2740.553629899583,281.07262373812324,ul figh l' è dulz
lm01,figh,225.474943,0.043097650666084064,4,344.9206095267521,918.8620839236612,2587.4940407387276,278.5396860587868,ul figh l' è dulz
lm01,figh,225.474943,0.05387206333261929,5,346.28785326263204,896.6023652123879,2663.0893750431505,272.58144112741434,ul figh l' è dulz
lm01,figh,225.474943,0.0646464759991261,6,340.58540680472464,923.7206871356275,2628.6662652850755,263.48993241057457,ul figh l' è dulz
lm01,figh,225.474943,0.07542088866566132,7,325.8989400702539,955.4725082139407,2589.0640597308143,251.95945781790934,ul figh l' è dulz
lm01,figh,225.474943,0.08619530133216813,8,354.72785757591504,629.0080289715294,2509.016311862352,243.0569313194977,ul figh l' è dulz
lm01,figh,225.474943,0.09696971399870336,9,366.50926853404275,470.91324158663866,2534.765348457858,232.2658473102023,ul figh l' è dulz
lm01,figh,225.474943,0.10774412666521016,10,281.60757243552933,1235.351564562067,2650.1052048130896,218.6783198207749,ul figh l' è dulz
lm01,sed,228.194966,0.017151001017737144,1,625.2189402938025,2111.293204030076,2537.668310535393,314.11553315078936,a g' ho sed
lm01,sed,228.194966,0.03430200203544587,2,538.1835170612167,1607.8355827822907,2581.9352267567638,262.7993230152108,a g' ho sed
lm01,sed,228.194966,0.05145300305318301,3,484.4205283178711,1099.8604912907472,2678.788610333117,215.54984697873425,a g' ho sed
lm01,sed,228.194966,0.06860400407092015,4,477.1951882834804,2122.6962420235927,2721.5950818704505,201.38078450396955,a g' ho sed
lm01,sed,228.194966,0.0857550050886573,5,437.95367230936597,2755.3938032682477,2921.3523830480653,192.84845768465985,a g' ho sed
lm01,sed,228.194966,0.10290600610636602,6,399.5696557451185,2098.928300359539,2797.8479161210494,187.79784153885643,a g' ho sed
lm01,sed,228.194966,0.12005700712410317,7,399.09605767024516,2770.4844650913406,2994.514857377481,180.33255850269185,a g' ho sed
lm01,sed,228.194966,0.1372080081418403,8,385.5882941178379,2048.597213143197,2785.8771709324424,178.14400273759838,a g' ho sed
lm01,sed,228.194966,0.15435900915957745,9,390.0310163051193,2419.5156589542626,2680.9518991984255,181.3326239058151,a g' ho sed
lm01,sed,228.194966,0.17151001017728618,10,415.61315163580457,2544.5330119580967,3306.7981465798193,175.04380239712842,a g' ho sed
lm01,növ,230.9125669591559,0.02209667682456029,1,519.8360253219216,897.678187881083,1915.4739938021783,243.75846929004248,cul lì l' è növ
