speaker,word,word_start,consonant_duration,voicing_duration,sentence_norm
lm01,pass,195.564943,0.1286472169262538,0.01898059590240564,ti gh' è ul pass lent
lm01,növ,198.654943,0.1365048670639908,0.1365048670639908,ul papa növ l' è giuvin
lm01,göb,202.50238042134296,0.18480856980545468,0.08770238025053345,a vighi ul göb
lm01,lagh,205.13,0.1586943153764082,0.10339218608208967,a vighi ul lagh
lm01,növ,207.73076526945053,0.25310738908137864,0.09688102116237474,cul lì l' è növ
lm01,fögh,210.1680489613137,0.1627118929808944,0.12308130338391265,a vighi ul fögh
lm01,fögh,212.149932,0.07633397448483947,0.07633397448483947,ul fögh l' è russ
lm01,nas,214.78679809731264,0.079111896031975,0.079111896031975,ul nas l' è lung
lm01,tus,217.659955,0.20489645782777188,0.04794697593257524,a vighi ul tus
lm01,sed,220.6721575357725,0.2571249666858364,0.14185199322992048,a g' ho sed
lm01,sach,222.95,0.0964218625071851,0,ul sach l' è pien
lm01,figh,225.474943,0.06829881927592396,0.06829881927592396,ul figh l' è dulz
lm01,sed,228.194966,0.138606427354091,0.0896664813544703,a g' ho sed
lm01,növ,230.9125669591559,0.16873825938759524,0.11639360754270456,cul lì l' è növ
lm01,növ,233.279955,0.07834276328711098,0.07834276328711098,ul papa növ l' è giuvin
lm01,tüss,235.85222179282664,0.22699313465233217,0.02320052222734148,a g' ho la tüss
lm01,pich,238.51454198478848,0.20073687492890713,0.014103421418298012,a g' ho dai un pich
lm01,pich,240.99970208377488,0.08035155208932565,0.036104570675462355,l' ass da pich l' è na carta
lm01,set,243.769932,0.04419335364912058,0.04419335364912058,ul set l' è un nümar
lm01,figh,246.414943,0.07067264003433138,0.07067264003433138,ul figh l' è dulz
lm01,sach,248.91081720605268,0.09039549610048425,0.019039937668395623,ul sach l' è pien
lm01,set,251.669955,0.2792216435103967,0,a gn' ho set
lm01,nas,253.854943,0.08105243145706709,0.08105243145706709,ul nas l' è lung
