sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,date,expName,psychopyVersion,frameRate,
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,0,103,103,71,space,1.6243065110002135,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus,0,104,104,70,space,1.454502606999995,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,105,105,87,space,1.5380018390001169,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,0,106,106,60,space,1.8052072919999773,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tarb' this Friday,I'll say '{word}' this Thursday,tarb,0,107,107,77,space,1.4740583110001353,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terbus' this Monday,I'll say '{word}' this Thursday,terbus,0,108,108,39,space,1.5918632399998387,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terk' this Thursday,We'll say '{word}' this Friday,terk,0,109,109,8,space,1.3709224509998421,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tark' this Monday,I'll say '{word}' this Thursday,tark,0,110,110,34,space,1.073361412000395,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tergus' this Monday,You'll say '{word}' this Monday,tergus,0,111,111,45,space,1.4744863589999113,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terb' this Thursday,We'll say '{word}' this Friday,terb,0,112,112,3,space,1.5071870530000524,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus,0,113,113,94,space,1.5743461460001527,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus,0,114,114,12,space,1.5416172149998602,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terb' this Friday,We'll say '{word}' this Friday,terb,0,115,115,75,space,1.3744831620001605,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,0,116,116,9,space,1.454469121999864,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terkus' this Tuesday,I'll say '{word}' this Thursday,terkus,0,117,117,116,space,3.4799072589999014,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek,0,118,118,78,space,1.490892957000142,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb,0,119,119,97,space,1.3239279889999125,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
