sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,0,87,87,83,space,1.95299005508,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,0,88,88,36,space,1.75389790535,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,89,89,81,space,1.80368995667,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,90,90,118,space,1.87027001381,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terk' this Monday,We'll say '{word}' this Friday,terk,0,91,91,32,space,1.78708195686,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,0,92,92,31,space,1.63705587387,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,0,93,93,90,space,1.98728990555,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus,0,94,94,113,space,1.92043685913,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,0,95,95,50,space,1.85277199745,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,0,96,96,26,space,1.78645706177,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terpus' this Friday,They'll say '{word}' this Tuesday,terpus,0,97,97,86,space,1.90380501747,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb,0,98,98,29,space,1.6538040638,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,0,99,99,24,space,1.3036839962,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus,0,100,100,114,space,1.97042107582,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terkus' this Monday,I'll say '{word}' this Thursday,terkus,0,101,101,44,space,1.87019610405,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,0,102,102,92,space,2.08477783203,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'targus' this Thursday,We'll say '{word}' this Friday,targus,0,103,103,23,space,4.42091917992,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep,0,104,104,72,space,1.87042307854,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus,0,105,105,84,space,1.736754179,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terg' this Tuesday,They'll say '{word}' this Tuesday,terg,0,106,106,105,space,1.93618392944,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,107,107,76,space,1.82031202316,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tarpus' this Monday,You'll say '{word}' this Monday,tarpus,0,108,108,40,space,1.93720197678,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tarpus' this Friday,You'll say '{word}' this Monday,tarpus,0,109,109,88,space,1.78482985497,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,0,110,110,58,space,1.87047600746,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'targ' this Tuesday,You'll say '{word}' this Monday,targ,0,111,111,107,space,1.92041802406,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus,0,112,112,94,space,2.10366392136,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ,0,113,113,59,space,1.73730397224,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek,0,114,114,6,space,1.88653206825,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terbus' this Monday,I'll say '{word}' this Thursday,terbus,0,115,115,39,space,1.85371899605,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,116,116,52,space,1.72019100189,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,0,117,117,80,space,1.92056107521,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terp' this Tuesday,She'll say '{word}' this Sunday,terp,0,118,118,98,space,1.97050189972,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terb' this Tuesday,We'll say '{word}' this Friday,terb,0,119,119,99,space,2.3377737999,2019_Feb_20_1134,60.07086530722144,english,en002,
