sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,date,expName,psychopyVersion,frameRate,
I'll say 'tergus' this Thursday,You'll say '{word}' this Monday,tergus,0,24,24,21,space,1.874584467999739,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tergus' this Sunday,You'll say '{word}' this Monday,tergus,0,25,25,69,space,1.7252786909998576,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terpus' this Friday,They'll say '{word}' this Tuesday,terpus,0,26,26,86,space,1.6586755299999822,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus,0,27,27,115,space,1.7588063969997165,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terpus' this Sunday,They'll say '{word}' this Tuesday,terpus,0,28,28,62,space,1.7253230940000321,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp,0,29,29,4,space,4.04341380599999,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'targus' this Thursday,We'll say '{word}' this Friday,targus,0,30,30,23,space,4.533012653999776,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terp' this Friday,She'll say '{word}' this Sunday,terp,0,31,31,74,space,1.7253571500000362,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep,0,32,32,0,space,1.7721022650002851,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,0,33,33,95,space,1.7584215879996918,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,0,34,34,50,space,1.6242866120001054,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terg' this Monday,They'll say '{word}' this Tuesday,terg,0,35,35,33,space,1.7419238549996408,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,0,36,36,103,space,1.7721429950001948,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,0,37,37,60,space,2.0251996219999455,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,0,38,38,42,space,1.8425027809998937,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,0,39,39,64,space,1.624311816000045,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terp' this Tuesday,She'll say '{word}' this Sunday,terp,0,40,40,98,space,1.6081613400001515,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,0,41,41,71,space,1.7417161729999862,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tark' this Monday,I'll say '{word}' this Thursday,tark,0,42,42,34,space,1.4406746670001667,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terb' this Sunday,We'll say '{word}' this Friday,terb,0,43,43,51,space,1.7588543619999655,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ,0,44,44,59,space,1.474396114999763,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,0,45,45,48,space,1.4211100939996868,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,0,46,46,58,space,1.3903844919996118,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus,0,47,47,70,space,1.6250956390003921,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,48,48,66,space,1.424847593999857,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terk' this Sunday,We'll say '{word}' this Friday,terk,0,49,49,56,space,1.5247423420000814,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teebus' this Thursday,We'll say '{word}' this Friday,teebus,0,50,50,13,space,2.005966030000309,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,51,51,108,space,1.7718276999999034,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus,0,52,52,43,space,4.449272931999985,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,0,53,53,15,space,1.82551262700008,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,0,54,54,92,space,1.6242202919997908,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teebus' this Friday,We'll say '{word}' this Friday,teebus,0,55,55,85,space,1.5408607619997383,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,0,56,56,109,space,1.7421982460000436,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus,0,57,57,61,space,1.7250499460001265,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tarpus' this Friday,You'll say '{word}' this Monday,tarpus,0,58,58,88,space,1.758816096999908,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ,0,59,59,11,space,1.6416843220004012,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,0,60,60,82,space,2.494125112999882,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terb' this Tuesday,We'll say '{word}' this Friday,terb,0,61,61,99,space,1.791175528000167,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terpus' this Thursday,They'll say '{word}' this Tuesday,terpus,0,62,62,14,space,10.515555581000172,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus,0,63,63,114,space,1.9250826550000966,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terb' this Friday,We'll say '{word}' this Friday,terb,0,64,64,75,space,1.6750231549999626,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terb' this Thursday,We'll say '{word}' this Friday,terb,0,65,65,3,space,1.7919066069998735,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terbus' this Sunday,I'll say '{word}' this Thursday,terbus,0,66,66,63,space,1.7245201339997038,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,0,67,67,57,space,1.557897357999991,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus,0,68,68,41,space,1.6751919240000461,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus,0,69,69,19,space,1.6406406589999278,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,70,70,89,space,1.7924510960001498,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tergus' this Friday,You'll say '{word}' this Monday,tergus,0,71,71,93,space,1.758784958000433,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terk' this Tuesday,We'll say '{word}' this Friday,terk,0,72,72,104,space,1.5082378409997546,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,0,73,73,119,space,1.8923576500001218,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek,0,74,74,54,space,1.6085422020000806,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tarp' this Monday,They'll say '{word}' this Tuesday,tarp,0,75,75,28,space,2.493136562000018,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teeg' this Friday,She'll say '{word}' this Sunday,teeg,0,76,76,79,space,1.6046493019998707,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus,0,77,77,112,space,1.7754302280000047,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb,0,78,78,29,space,1.471292309999626,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus,0,79,79,65,space,1.7754111750000448,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terk' this Monday,We'll say '{word}' this Friday,terk,0,80,80,32,space,1.5080731899997772,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terpus' this Tuesday,They'll say '{word}' this Tuesday,terpus,0,81,81,110,space,1.8254921399998238,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,82,82,118,space,1.8081173219998163,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,83,83,76,space,1.7753765669999666,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,0,84,84,36,space,3.6973143320001327,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,0,85,85,26,space,1.5917746750001243,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep,0,86,86,72,space,1.6748732729997755,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teeg' this Thursday,She'll say '{word}' this Sunday,teeg,0,87,87,7,space,1.8088701829997262,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terbus' this Monday,I'll say '{word}' this Thursday,terbus,0,88,88,39,space,1.6249449870001627,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark,0,89,89,10,space,1.8422452119998525,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tarkus' this Monday,She'll say '{word}' this Sunday,tarkus,0,90,90,46,space,1.6555485730000328,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,0,91,91,83,space,1.5580992109998988,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terbus' this Tuesday,I'll say '{word}' this Thursday,terbus,0,92,92,111,space,1.8425649360001444,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tarpus' this Monday,You'll say '{word}' this Monday,tarpus,0,93,93,40,space,1.571499390000099,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terg' this Tuesday,They'll say '{word}' this Tuesday,terg,0,94,94,105,space,1.7589944970000033,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'terkus' this Tuesday,I'll say '{word}' this Thursday,terkus,0,95,95,116,space,1.6576387670002077,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,0,96,96,2,space,1.4576763009999922,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,0,97,97,24,space,1.908933898000214,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,0,98,98,9,space,1.8755366800000957,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,0,99,99,80,space,1.6215848899996672,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terpus' this Monday,They'll say '{word}' this Tuesday,terpus,0,100,100,38,space,1.6253649409995887,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb,0,101,101,49,space,1.507935266000004,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teeb' this Thursday,You'll say '{word}' this Monday,teeb,0,102,102,1,space,1.6214893769997616,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teegus' this Friday,They'll say '{word}' this Tuesday,teegus,0,103,103,91,space,2.1397042700000384,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus,0,104,104,47,space,1.6549553180002476,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tergus' this Tuesday,You'll say '{word}' this Monday,tergus,0,105,105,117,space,2.3903184189998683,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,106,106,87,space,1.6745917060002284,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus,0,107,107,94,space,1.6912007490000178,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp,0,108,108,100,space,1.6084318160001203,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus,0,109,109,113,space,9.96422087100018,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terkus' this Monday,I'll say '{word}' this Thursday,terkus,0,110,110,44,space,1.7246459090001736,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb,0,111,111,53,space,1.6384709589997328,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teekus' this Thursday,We'll say '{word}' this Friday,teekus,0,112,112,18,space,2.0762630079998416,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'tarb' this Friday,I'll say '{word}' this Thursday,tarb,0,113,113,77,space,1.6076010920000954,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus,0,114,114,12,space,1.8917190130000563,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ,0,115,115,35,space,1.608059694000076,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teeg' this Sunday,She'll say '{word}' this Sunday,teeg,0,116,116,55,space,1.8586007280000558,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,117,117,52,space,1.7252025519997005,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tarb' this Thursday,I'll say '{word}' this Thursday,tarb,0,118,118,5,space,1.8581941140000708,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terkus' this Thursday,I'll say '{word}' this Thursday,terkus,0,119,119,20,space,1.8080578369999785,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
