index,speaker,file,rec_date,word,time,word_duration,c1_duration,c1_closure,c1_rvot,c1_rvofft,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,c1_rel,v_onset,v_offset,c2_rel,rel_rel
40,pl02,pl02-040,07/02/2017 16:26:04,paka,92.4848568006,354.3887251771,122.0346849783,98.4384530363,23.5962319421,104.6272627677,81.0310308256,58.9845248641,37.6669456388,96.6514705028,54.6715388703,0.984989,1.1315038704,1.1551001023,1.2361311331,1.295115658,163.6117876318
41,pl02,pl02-041,07/02/2017 16:26:10,poto,95.064989,337.3793818762,140,101.7819406369,38.2180593631,103.7999814627,65.5819220996,58.4612944699,25.9567834306,84.4180779004,47.3793818762,1.034966,1.3581541606,1.39637222,1.4619541421,1.5204154365,162.2612759326
42,pl02,pl02-042,07/02/2017 16:26:15,pugu,97.6417104207,362.1989450157,151.3230093731,112.4381787964,38.8848305767,104.2954217251,65.4105911484,70.7114390976,17.1535340868,87.8649731844,57.6003713098,0.969977,1.3332869215,1.3721717521,1.4375823433,1.5082937824,175.0068608227
43,pl02,pl02-043,07/02/2017 16:26:21,podo,100.379977,315.6947159498,130,86.9684339336,43.0315660664,113.5255393966,70.4939733303,55.4035890324,4.149337237,59.5529262694,55.6478163501,0.9384265517,1.5615486085,1.6045801746,1.6750741479,1.730477737,168.929128429
44,pl02,pl02-044,07/02/2017 16:26:26,putu,102.699955,359.5639260654,160,106.8481764262,53.1518235738,112.1317925441,58.9799689704,70.0381698421,25.637023181,95.675193023,44.908764072,1.044988,1.4865310676,1.5396828912,1.5986628601,1.66870103,182.1699623862
45,pl02,pl02-045,07/02/2017 16:26:31,poko,105.0564571318,348.5310602981,131.7974597766,95.264119537,36.5333402396,109.7541512266,73.220810987,64.5767244605,36.9561334414,101.532857902,41.9799316326,1.009977,1.2075942672,1.2441276075,1.3173484184,1.3819251429,174.3308756871
46,pl02,pl02-046,07/02/2017 16:26:37,pada,107.439955,332.1529517871,146.66023062,97.9409636483,48.7192669717,132.0590363517,83.33976938,24.3199653033,5.6800346967,30,72.1529517871,0.94,1.1208438095,1.1695630764,1.2529028458,1.2772228111,156.379001655
47,pl02,pl02-047,07/02/2017 16:26:42,pudu,109.769955,368.0104080309,170,120.8066937285,49.1933062715,117.3588094854,68.1655032139,49.4611268166,11.0680769327,60.5292037493,69.3157010677,1.010022,1.2445938933,1.2937871995,1.3619527028,1.4114138296,166.819936302
48,pl02,pl02-048,07/02/2017 16:26:47,paga,112.114966,293.0098869443,120,80.0035008646,39.9964991354,114.4023606172,74.4058614818,36.8320601618,9.05298139,45.8850415519,52.7189839106,0.889977,1.1455363943,1.1855328934,1.2599387549,1.2967708151,151.234420779
49,pl02,pl02-049,07/02/2017 16:27:04,pata,114.8688751085,324.1241233025,123.0109624582,88.9841530276,34.0268094305,98.4611230991,64.4343136686,66.1521063832,31.4756415995,97.6277479827,39.0510991931,0.92,1.5167708261,1.5507976356,1.6152319492,1.6813840556,164.6132294823
50,pl02,pl02-050,07/02/2017 16:27:10,puku,117.269977,341.3683979927,140,99.765687963,40.234312037,90.234312037,50,77.9241774598,22.0758225402,100,51.3683979927,0.924989,1.3047993773,1.3450336893,1.3950336893,1.4729578668,168.1584894968
51,pl02,pl02-051,07/02/2017 16:27:15,pogo,119.509977,335.7735944767,140,95.3989172264,44.6010827736,109.5534949535,64.9524121799,42.9917577129,16.5611685565,59.5529262694,71.2682560274,0.94,1.1139473458,1.1585484286,1.2235008408,1.2664925985,152.5452526664
