index,speaker,file,rec.date,word,voicing.start,voicing.end,voicing.duration,sentence.duration
20,pl02,pl02-020,07/02/2017 16:23:32,putu,1.2472006198460004,1.3484638196520111,101.26319980601073,0.9949660000000051
21,pl02,pl02-021,07/02/2017 16:23:37,poko,1.1942559957358634,1.3093299778735727,115.07398213770936,1.0150110000000012
22,pl02,pl02-022,07/02/2017 16:23:42,pada,1.0372620216011361,1.2806541057497134,243.39208414857728,0.9300230000000056
23,pl02,pl02-023,07/02/2017 16:23:47,pudu,1.0769877392792588,1.338793204907395,261.8054656281361,1.0049879999999973
24,pl02,pl02-024,07/02/2017 16:23:51,paga,1.204773018357865,1.4674431818416684,262.6701634838033,0.9599550000000008
25,pl02,pl02-025,07/02/2017 16:24:39,pata,1.604056971772017,1.700104833143503,96.04786137148591,0.9299770000000009
26,pl02,pl02-026,07/02/2017 16:24:44,puku,1.1808544244443364,1.2401448976754739,59.290473231137454,1.1000000000000014
27,pl02,pl02-027,07/02/2017 16:24:49,pogo,1.003785036431219,1.2369757844423237,233.19074801110463,0.995010999999991
28,pl02,pl02-028,07/02/2017 16:24:54,paka,1.1133241584047873,1.2292770143727987,115.95285596801142,1.0149199999999894
29,pl02,pl02-029,07/02/2017 16:24:59,poto,1.1154436162436505,1.212886952084999,97.44333584134846,1.0284974335572912
30,pl02,pl02-030,07/02/2017 16:25:04,pugu,1.1909459615337088,1.457860834623985,266.91487309027616,1.0550110000000075
31,pl02,pl02-031,07/02/2017 16:25:09,podo,1.1466746430949448,1.250780022829031,104.10537973408607,0.9550109999999989
32,pl02,pl02-032,07/02/2017 16:25:14,putu,1.183810066805927,1.2813999116092474,97.58984480332033,1
33,pl02,pl02-033,07/02/2017 16:25:19,poko,1.1551713463932751,1.2787316339831147,123.56028758983962,0.9500230000000016
34,pl02,pl02-034,07/02/2017 16:25:24,pada,1.0059145798762712,1.2270610313909802,221.146451514709,0.9499780000000015
35,pl02,pl02-035,07/02/2017 16:25:28,pudu,1.1366656413598626,1.3522738217359673,215.60818037610474,0.9949660000000051
36,pl02,pl02-036,07/02/2017 16:25:33,paga,0.9548942744790863,1.2077719194358663,252.87764495678,0.9500220000000041
37,pl02,pl02-037,07/02/2017 16:25:49,pata,1.2397227271810618,1.4156055014358484,175.8827742547866,0.9049890000000005
38,pl02,pl02-038,07/02/2017 16:25:54,puku,1.126504481819613,1.2321061252591836,105.60164343957057,1.0299770000000024
39,pl02,pl02-039,07/02/2017 16:25:59,pogo,1.166856716767821,1.3653646132054682,198.50789643764722,1.0349659999999972
40,pl02,pl02-040,07/02/2017 16:26:04,paka,1.2352115302997366,1.333883738020322,98.67220772058528,0.9849889999999988
41,pl02,pl02-041,07/02/2017 16:26:10,poto,1.3873219717152985,1.4690082330452792,81.6862613299807,1.0349659999999972
42,pl02,pl02-042,07/02/2017 16:26:15,pugu,1.365225418270444,1.5744090244472242,209.18360617678022,0.9699770000000001
43,pl02,pl02-043,07/02/2017 16:26:21,podo,1.6061773327996391,1.793079205860123,186.9018730604839,0.9384265517421397
44,pl02,pl02-044,07/02/2017 16:26:26,putu,1.5368769610125028,1.6303140202921957,93.43705927969293,1.0449880000000036
45,pl02,pl02-045,07/02/2017 16:26:31,poko,1.2430822448356977,1.3382196548302452,95.13740999454745,1.0099769999999921
46,pl02,pl02-046,07/02/2017 16:26:37,pada,1.1436989870492769,1.3662668135638165,222.56782651453966,0.9399999999999977
47,pl02,pl02-047,07/02/2017 16:26:42,pudu,1.2825868547334258,1.5179950573318768,235.40820259845097,1.0100220000000064
