index,speaker,word,duration,sentence
104,SDC02,pata,153.94682786910607,1.7950109999999881
105,SDC02,pogo,224.42389083300895,1.9699779999999691
106,SDC02,paca,156.26552398742888,1.7649890000000141
107,SDC02,pudu,156.26552398737203,1.809978000000001
108,SDC02,baga,227.74868921567304,1.9550120000000106
109,SDC02,poto,173.0288361970338,2.1099780000000123
110,SDC02,bucu,132.99193530843922,1.8899769999999876
111,SDC02,putu,120.00000000000455,1.7449880000000348
112,SDC02,bugu,139.99999999998636,1.8900219999999877
113,SDC02,pada,202.81270134535134,1.944989000000021
114,SDC02,boto,164.4570672383452,2.034966000000054
115,SDC02,poco,137.97913288254904,2.0699770000000512
116,SDC02,bodo,191.6835872426077,1.894965999999954
117,SDC02,pucu,117.60570371654921,1.8699770000000058
