index,speaker,word,vowel.duration,closure.duration,vot,sentence.duration
66,PS02,pugu,48.81381635885873,55.907614650351434,29.159032177744848,1.0399539999999945
67,PS02,podo,93.9793839389722,49.19266925702459,11.336463027930677,1.0899780000000021
68,PS02,putu,70.2936703800674,79.98683406279383,39.7194955571365,1.1249880000000019
69,PS02,poko,71.2681718839292,69.17536342155017,42.12013787662272,0.9899770000000103
70,PS02,pada,72.24444821110865,26.798327807398437,18.1103832427425,1.0600000000000023
71,PS02,pudu,68.46657547396262,55.930386183149494,16.314062027959153,1.2249879999999962
72,PS02,paga,90.79369842746132,51.78461727913941,11.673343987382623,1.0299320000000023
73,PS02,pata,72.24444821110865,61.148123886255235,25.060004435204064,0.8849890000000187
74,PS02,puku,44.117551541177136,58.549239853391555,57.3332086054279,1.0300220000000024
75,PS02,pogo,63.45796126649361,57.272575216416044,23.758359939279217,1.0349659999999972
