index,speaker,file,word,voicing
1,SC01,SC01-066,butu,76.56987577685925
1,SC01,SC01-067,bugu,143.57110760137402
1,SC01,SC01-068,pudu,89.30003988844082
1,SC01,SC01-069,baga,142.96767104982055
1,SC01,SC01-070,pogo,102.22322615004298
1,SC01,SC01-071,budu,139.984762475567
1,SC01,SC01-072,poto,91.04330151038154
1,SC01,SC01-073,pugu,86.57101239551879
1,SC01,SC01-074,pada,99.93807000095323
1,SC01,SC01-075,poco,104.75021908171433
1,SC01,SC01-076,pata,95.27129730254369
1,SC01,SC01-077,boco,107.4444021769353
1,SC01,SC01-078,podo,180.57203090204376
1,SC01,SC01-079,boto,105.82484547953308
1,SC01,SC01-080,paca,83.02076782065937
1,SC01,SC01-081,bodo,160.76061742994352
1,SC01,SC01-082,pucu,144.1987685607342
1,SC01,SC01-083,paga,94.79382066182751
1,SC01,SC01-084,bada,89.66409286439614
1,SC01,SC01-085,bogo,104.16749426495997
1,SC01,SC01-086,putu,153.72395668162687
1,SC01,SC01-087,bata,85.08594548803671
1,SC01,SC01-088,bucu,94.99211913352946
1,SC01,SC01-089,baca,170.9104390444005
1,SC01,SC01-090,butu,81.34609076711308
1,SC01,SC01-091,bugu,100.52711857034535
1,SC01,SC01-092,pudu,146.82789726169298
1,SC01,SC01-093,baga,101.83877682540788
1,SC01,SC01-094,pogo,147.11131888581352
1,SC01,SC01-095,budu,134.06944968822933
1,SC01,SC01-096,poto,99.74877407869131
1,SC01,SC01-097,pugu,182.33307839378375
1,SC01,SC01-098,pada,85.88783742802897
1,SC01,SC01-099,poco,130.0626582350385
1,SC01,SC01-100,pata,109.91178006325708
1,SC01,SC01-101,boco,95.29602596504938
1,SC01,SC01-102,podo,87.57029216892043
1,SC01,SC01-103,boto,95.12102800487854
1,SC01,SC01-104,paca,151.78876484962078
1,SC01,SC01-105,bodo,142.55653602401074
1,SC01,SC01-106,pucu,140.92723343290635
1,SC01,SC01-107,paga,86.69837621473498
1,SC01,SC01-108,bada,84.3125810241242
1,SC01,SC01-109,bogo,143.2465409625836
1,SC01,SC01-110,putu,97.50113290247586
1,SC01,SC01-111,bata,159.14052679563906
1,SC01,SC01-112,bucu,189.4143976200091
1,SC01,SC01-113,baca,93.93055875180423
1,SC01,SC01-114,butu,94.99532141696842
1,SC01,SC01-115,bugu,156.1013052518032
1,SC01,SC01-116,pudu,157.84388426794405
1,SC01,SC01-117,baga,97.23301744541945
1,SC01,SC01-118,pogo,95.95231701190599
