speaker,file,word,time,maximum,minimum,position
SC01,SC01-050,pada,-0.03577836816487612,0.27232973041202074,0.8895572474867757,before
SC01,SC01-050,pada,-0.027539543452902993,0.27657657159307164,0.8975301168423037,before
SC01,SC01-050,pada,-0.01934026643699749,0.31517402061700417,0.901525028342731,before
SC01,SC01-050,pada,-0.010856849412860359,0.3087151770606595,0.8944931385246981,before
SC01,SC01-050,pada,-0.0023087351165150816,0.30676129896584153,0.8891872371040298,before
SC01,SC01-050,pada,0.006212397582750828,0.31013389693504007,0.8966894961533955,after
SC01,SC01-050,pada,0.014749714475835507,0.31012298618919804,0.8824599227403591,after
SC01,SC01-050,pada,0.023322121212582703,0.3060888845244754,0.8837897513235858,after
SC01,SC01-050,pada,0.03185671789464628,0.3217008193607306,0.8814947993032272,after
SC01,SC01-050,pada,0.04029884111410098,0.2992225940947268,0.8951000311017538,after
SC01,SC01-050,pada,0.04827614691647231,0.29175917360737375,0.9053797485005054,after
SC01,SC01-051,poko,-0.07854916757470343,0.2825950397542265,0.8964510757741025,before
SC01,SC01-051,poko,-0.07024181074370017,0.2872710670706218,0.9047167198010478,before
SC01,SC01-051,poko,-0.061985994927423294,0.295024962835036,0.9069057954677557,before
SC01,SC01-051,poko,-0.0537655058849662,0.3153184456673957,0.8920310727480976,before
SC01,SC01-051,poko,-0.045537913979290856,0.3308086869203422,0.815748202518389,before
SC01,SC01-051,poko,-0.03698282877142378,0.37423877607688855,0.720502817090135,before
SC01,SC01-051,poko,0.06184658499254736,1.1343492322865631,-13.152657537309773,after
SC01,SC01-051,poko,0.07132141703908701,0.20141207674279962,0.7144057768025259,after
SC01,SC01-051,poko,0.07764147704781355,0.3113599893966111,0.7662609891672542,after
SC01,SC01-052,pata,-0.06860843841413944,0.264812761496406,0.9051528271818572,before
SC01,SC01-052,pata,-0.05970100240103693,0.2694685354365802,0.9045720879446018,before
SC01,SC01-052,pata,-0.05110012534150332,0.2868081421596895,0.9021743704390927,before
SC01,SC01-052,pata,-0.04275202233383624,0.31246661062370124,0.9092343274891429,before
SC01,SC01-052,pata,-0.034491782527084736,0.3353206291034115,0.8404724636942886,before
SC01,SC01-052,pata,-0.026030338093446348,0.35871323496580754,0.7699689834598508,before
SC01,SC01-052,pata,-0.017021430702201856,0.46983623624550036,0.8952009171259062,before
SC01,SC01-052,pata,0.06150122475699371,1.0751065003915004,3.1619595078603537,after
SC01,SC01-052,pata,0.07417548193503976,0.19574663625229782,0.640401070323615,after
SC01,SC01-052,pata,0.07903849833179644,0.32583894216810805,0.7820198513959675,after
SC01,SC01-053,boko,-0.08456002453659184,0.3057170336826071,0.9002411761698315,before
SC01,SC01-053,boko,-0.07632737686934998,0.3286529956102831,0.8964013654776767,before
SC01,SC01-053,boko,-0.06813998398324861,0.3368583722161795,0.828255619834546,before
SC01,SC01-053,boko,-0.05985224536712974,0.3655224516209859,0.78469239393524,before
SC01,SC01-053,boko,-0.05133407156299152,0.4049769713150411,0.7455797826347454,before
SC01,SC01-053,boko,0.049356400408803625,0.18257962752286425,0.635637627480723,after
SC01,SC01-053,boko,0.052971631644865846,-0.3779136105621947,0.8020691900251503,after
SC01,SC01-054,podo,-0.07061701535019771,0.2772446108006366,0.8931516180677188,before
SC01,SC01-054,podo,-0.06176016152326569,0.27961726840546186,0.8949476002686748,before
SC01,SC01-054,podo,-0.05303475529357504,0.28353281429912164,0.9045580993512148,before
SC01,SC01-054,podo,-0.04433804664616692,0.28289742092399556,0.8848847098693984,before
SC01,SC01-054,podo,-0.035609452316040624,0.28155618191917176,0.8915450558421247,before
SC01,SC01-054,podo,-0.027201232321477198,0.2899644504666871,0.8972045684548613,before
