index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,7,7,10,,,,,,,,,,,,,,,,z,1.26915311813,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,8,8,24,,,,,,,,,,,,,,,,z,1.01902103424,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,9,9,38,,,,,,,,,,,,,,,,slash,0.967622041702,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,10,10,23,,,,,,,,,,,,,,,,z,0.569505214691,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,11,11,8,,,,,,,,,,,,,,,,z,0.719847917557,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,12,12,32,,,,,,,,,,,,,,,,z,0.984061002731,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,13,13,26,,,,,,,,,,,,,,,,z,1.35338807106,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,14,14,1,,,,,,,,,,,,,,,,slash,1.2701690197,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,15,15,12,,,,,,,,,,,,,,,,slash,0.46964597702,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,16,16,7,,,,,,,,,,,,,,,,z,0.91960310936,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,17,17,5,,,,,,,,,,,,,,,,z,0.684098005295,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
