index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,0,0,0,0,,,,,0,31,31,6,,,,,,,,,,,,,,,,,,,,slash,0.384850025177,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,0,0,0,0,,,,,0,32,32,10,,,,,,,,,,,,,,,,,,,,slash,0.403433084488,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_right,voicing,0,0,0,0,,,,,0,33,33,38,,,,,,,,,,,,,,,,,,,,z,0.552901029587,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_right,voicing,0,0,0,0,,,,,0,34,34,25,,,,,,,,,,,,,,,,,,,,slash,0.586340904236,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_right,burst,0,0,0,0,,,,,0,35,35,34,,,,,,,,,,,,,,,,,,,,slash,0.702877044678,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_right,voicing,0,0,0,0,,,,,0,36,36,12,,,,,,,,,,,,,,,,,,,,z,0.433741092682,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,0,0,0,0,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,z,0.46915102005,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,0,0,0,0,,,,,0,38,38,35,,,,,,,,,,,,,,,,,,,,slash,0.369934082031,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_right,burst,0,0,0,0,,,,,1,0,39,33,,,,,,,,,,,,,,,,,,,,slash,0.200381040573,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_right,confound,0,0,0,0,,,,,1,1,40,14,,,,,,,,,,,,,,,,,,,,z,0.269489049911,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_right,voicing,0,0,0,0,,,,,1,2,41,27,,,,,,,,,,,,,,,,,,,,z,0.250613927841,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,0,0,0,0,,,,,1,3,42,6,,,,,,,,,,,,,,,,,,,,slash,0.519566059113,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,0,0,0,0,,,,,1,4,43,23,,,,,,,,,,,,,,,,,,,,slash,0.53581905365,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
27,5,5,../data/raw/stimuli/piti5.wav,i,,t_right,voicing,0,0,0,0,,,,,1,5,44,26,,,,,,,,,,,,,,,,,,,,slash,0.40291595459,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_right,voicing,0,0,0,0,,,,,1,6,45,7,,,,,,,,,,,,,,,,,,,,slash,0.752864122391,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_right,burst,0,0,0,0,,,,,1,7,46,30,,,,,,,,,,,,,,,,,,,,z,0.569006919861,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_right,burst,0,0,0,0,,,,,1,8,47,1,,,,,,,,,,,,,,,,,,,,z,0.285619974136,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,0,0,0,0,,,,,1,9,48,35,,,,,,,,,,,,,,,,,,,,slash,0.383702993393,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_right,burst,0,0,0,0,,,,,1,10,49,34,,,,,,,,,,,,,,,,,,,,slash,0.20339679718,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_right,voicing,0,0,0,0,,,,,1,11,50,36,,,,,,,,,,,,,,,,,,,,slash,0.300721168518,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_right,burst,0,0,0,0,,,,,1,12,51,17,,,,,,,,,,,,,,,,,,,,slash,0.76750087738,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_right,burst,0,0,0,0,,,,,1,13,52,3,,,,,,,,,,,,,,,,,,,,z,0.803104877472,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_right,confound,0,0,0,0,,,,,1,14,53,28,,,,,,,,,,,,,,,,,,,,z,0.502753019333,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,0,0,0,0,,,,,1,15,54,31,,,,,,,,,,,,,,,,,,,,z,0.284981966019,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
39,5,3,../data/raw/stimuli/putu3.wav,u,,t_right,voicing,0,0,0,0,,,,,1,16,55,38,,,,,,,,,,,,,,,,,,,,z,0.285763978958,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_right,voicing,0,0,0,0,,,,,1,17,56,22,,,,,,,,,,,,,,,,,,,,slash,0.519807815552,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_right,burst,0,0,0,0,,,,,1,18,57,18,,,,,,,,,,,,,,,,,,,,slash,0.219533920288,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_right,burst,0,0,0,0,,,,,1,19,58,16,,,,,,,,,,,,,,,,,,,,slash,0.15283203125,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,0,0,0,0,,,,,1,20,59,2,,,,,,,,,,,,,,,,,,,,slash,0.486071825027,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
