index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,19,19,16,,,,,,,,,,,,,,,,,,,,slash,0.31947684288,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,20,20,27,,,,,,,,,,,,,,,,,,,,z,0.436438798904,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,21,21,4,,,,,,,,,,,,,,,,,,,,slash,0.352505922318,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,22,22,31,,,,,,,,,,,,,,,,,,,,z,0.60350394249,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,23,23,11,,,,,,,,,,,,,,,,,,,,slash,0.817506074905,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,0,0,../data/raw/stimuli/pada0.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,z,0.485671043396,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,25,25,10,,,,,,,,,,,,,,,,,,,,slash,0.452878952026,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,26,26,9,,,,,,,,,,,,,,,,,,,,slash,0.369283914566,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,27,27,33,,,,,,,,,,,,,,,,,,,,slash,0.386234045029,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,28,28,21,,,,,,,,,,,,,,,,,,,,slash,0.35265994072,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
