stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
92,Ripete "toto" da sempre,Ripete X da sempre,toto,t,o,t,back,mid-low,coronal,coronal,0,48,48,91,space,1.20358204842,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
13,Scrivete "popo" sul foglio,Scrivete X sul foglio,popo,p,o,p,back,mid-low,labial,labial,0,49,49,12,space,1.25339818001,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
132,Ripete "copo" da sempre,Ripete X da sempre,copo,k,o,p,back,mid-low,velar,labial,0,50,50,131,space,1.28442311287,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
21,Scrivete "pato" sul foglio,Scrivete X sul foglio,pato,p,a,t,central,low,labial,coronal,0,51,51,20,space,1.3854739666,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
52,Ripete "poco" da sempre,Ripete X da sempre,poco,p,o,k,back,mid-low,labial,velar,0,52,52,51,space,1.25180196762,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
100,Ripete "taco" da sempre,Ripete X da sempre,taco,t,a,k,central,low,coronal,velar,0,53,53,99,space,1.2198240757,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
45,Scrivete "pico" sul foglio,Scrivete X sul foglio,pico,p,i,k,front,high,labial,velar,0,54,54,44,space,1.21695899963,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
167,Sentivo "coco" di nuovo,Sentivo X di nuovo,coco,k,o,k,back,mid-low,velar,velar,0,55,55,166,space,1.05330991745,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
133,Scrivete "cupo" sul foglio,Scrivete X sul foglio,cupo,k,u,p,back,high,velar,labial,0,56,56,132,space,1.28698515892,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
75,Sentivo "tupo" di nuovo,Sentivo X di nuovo,tupo,t,u,p,back,high,coronal,labial,0,57,57,74,space,1.10053515434,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
168,Ripete "coco" da sempre,Ripete X da sempre,coco,k,o,k,back,mid-low,velar,velar,0,58,58,167,space,1.17023301125,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
84,Ripete "teto" da sempre,Ripete X da sempre,teto,t,e,t,front,mid-high,coronal,coronal,0,59,59,83,space,1.03724098206,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
121,Scrivete "chepo" sul foglio,Scrivete X sul foglio,chepo,k,e,p,front,mid-high,velar,labial,0,60,60,120,space,0.968406915665,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
42,Ha detto "peco" sei volte,Ha detto X sei volte,peco,p,e,k,front,mid-high,labial,velar,0,61,61,41,space,1.35303616524,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
81,Scrivete "teto" sul foglio,Scrivete X sul foglio,teto,t,e,t,front,mid-high,coronal,coronal,0,62,62,80,space,1.03750395775,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
44,Ripete "peco" da sempre,Ripete X da sempre,peco,p,e,k,front,mid-high,labial,velar,0,63,63,43,space,1.18671393394,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
145,Scrivete "chito" sul foglio,Scrivete X sul foglio,chito,k,i,t,front,high,velar,coronal,0,64,64,144,space,1.08608698845,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
143,Sentivo "cheto" di nuovo,Sentivo X di nuovo,cheto,k,e,t,front,mid-high,velar,coronal,0,65,65,142,space,0.899954080582,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
138,Ha detto "cato" sei volte,Ha detto X sei volte,cato,k,a,t,central,low,velar,coronal,0,66,66,137,space,1.15321302414,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
131,Sentivo "copo" di nuovo,Sentivo X di nuovo,copo,k,o,p,back,mid-low,velar,labial,0,67,67,130,space,1.01944518089,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
