stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
137,Scrivete "cato" sul foglio,Scrivete X sul foglio,cato,k,a,t,central,low,velar,coronal,0,96,96,136,space,1.7697019577,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
21,Scrivete "pato" sul foglio,Scrivete X sul foglio,pato,p,a,t,central,low,labial,coronal,0,97,97,20,space,1.72022414207,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
93,Scrivete "tuto" sul foglio,Scrivete X sul foglio,tuto,t,u,t,back,high,coronal,coronal,0,98,98,92,space,1.66715502739,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
32,Ripete "poto" da sempre,Ripete X da sempre,poto,p,o,t,back,mid-low,labial,coronal,0,99,99,31,space,1.55355501175,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
44,Ripete "peco" da sempre,Ripete X da sempre,peco,p,e,k,front,mid-high,labial,velar,0,100,100,43,space,1.51633787155,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
161,Scrivete "chico" sul foglio,Scrivete X sul foglio,chico,k,i,k,front,high,velar,velar,0,101,101,160,space,1.72047591209,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
45,Scrivete "pico" sul foglio,Scrivete X sul foglio,pico,p,i,k,front,high,labial,velar,0,102,102,44,space,1.58574700356,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
50,Ha detto "poco" sei volte,Ha detto X sei volte,poco,p,o,k,back,mid-low,labial,velar,0,103,103,49,space,1.71813392639,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
14,Ha detto "popo" sei volte,Ha detto X sei volte,popo,p,o,p,back,mid-low,labial,labial,0,104,104,13,space,1.60383987427,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
19,Sentivo "pupo" di nuovo,Sentivo X di nuovo,pupo,p,u,p,back,high,labial,labial,0,105,105,18,space,1.55224204063,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
70,Ha detto "topo" sei volte,Ha detto X sei volte,topo,t,o,p,back,mid-low,coronal,labial,0,106,106,69,space,1.75353980064,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
124,Ripete "chepo" da sempre,Ripete X da sempre,chepo,k,e,p,front,mid-high,velar,labial,0,107,107,123,space,1.70310688019,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
13,Scrivete "popo" sul foglio,Scrivete X sul foglio,popo,p,o,p,back,mid-low,labial,labial,0,108,108,12,space,1.6704621315,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
5,Scrivete "pepo" sul foglio,Scrivete X sul foglio,pepo,p,e,p,front,mid-high,labial,labial,0,109,109,4,space,1.55371713638,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
158,Ha detto "checo" sei volte,Ha detto X sei volte,checo,k,e,k,front,mid-high,velar,velar,0,110,110,157,space,1.60367012024,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
84,Ripete "teto" da sempre,Ripete X da sempre,teto,t,e,t,front,mid-high,coronal,coronal,0,111,111,83,space,1.58680987358,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
35,Sentivo "puto" di nuovo,Sentivo X di nuovo,puto,p,u,t,back,high,labial,coronal,0,112,112,34,space,3.7863509655,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
39,Sentivo "paco" di nuovo,Sentivo X di nuovo,paco,p,a,k,central,low,labial,velar,0,113,113,38,space,1.56918787956,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
52,Ripete "poco" da sempre,Ripete X da sempre,poco,p,o,k,back,mid-low,labial,velar,0,114,114,51,space,1.70448303223,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
170,Ha detto "cuco" sei volte,Ha detto X sei volte,cuco,k,u,k,back,high,velar,velar,0,115,115,169,space,3.58649492264,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
6,Ha detto "pepo" sei volte,Ha detto X sei volte,pepo,p,e,p,front,mid-high,labial,labial,0,116,116,5,space,1.6694419384,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
