sound,time,period,maximum.abs,minimum.abs,maximum,minimum
mod2bre,3.0738711880311884,0.008124908659174146,3.0777642087461072,3.0808674019930447,0.47914639760572036,0.8610821678538554
mod2bre,3.0819960966903626,0.00811295577332638,3.0858341009121824,3.0888457173386996,0.4730710149361725,0.844281768533375
mod2bre,3.090109052463689,0.008159243316607334,3.0939855937568344,3.097224023448403,0.475110392314823,0.8720135812388644
mod2bre,3.0982682957802963,0.008179150314985506,3.1021625746412287,3.105201467160066,0.4761226668982316,0.8476640131025457
mod2bre,3.106447446095282,0.008114564157114756,3.1103328278830724,3.1134997061032346,0.47881583194877736,0.8690867274454219
mod2bre,3.1145620102523965,0.008177697737479672,3.118478598219767,3.1217692356251834,0.47893528143260444,0.8813269460614808
mod2bre,3.122739707989876,0.008190788351974732,3.126627043603336,3.129796174758957,0.4745984692087278,0.861512526737358
mod2bre,3.130930496341851,0.008067185579538894,3.1347502802564726,3.1380066300586775,0.47349647246369775,0.877150233753646
mod2bre,3.13899768192139,0.008157471326358134,3.142893300883131,3.1461591745703834,0.4775522715174698,0.8779059542451114
mod2bre,3.147155153247748,0.00805979400062462,3.1510051794591134,3.154145689043509,0.4776829545602606,0.8673343010031508
mod2bre,3.1552149472483726,0.008176999056948908,3.1591750203126576,3.162308255303175,0.4842941813622584,0.8674708172767092
mod2bre,3.1633919463053215,0.008166728109821442,3.167356650308864,3.170584064948566,0.48547030710798506,0.8806609631824361
mod2bre,3.171558674415143,0.008144721842363367,3.1754986075543803,3.178709994563805,0.48374066241826297,0.8780312314001683
mod2bre,3.1797033962575063,0.008124266559473625,3.183643731097717,3.1868144313892235,0.4850080695119413,0.8752833353830659
mod2bre,3.18782766281698,0.008153767707659743,3.1918230341812097,3.1949306488956437,0.490003089059857,0.8711293151006926
mod2bre,3.1959814305246397,0.008099689941174049,3.1999867719497774,3.203068904584572,0.4945055248074324,0.8750302926910752
mod2bre,3.2040811204658137,0.008235165218557494,3.2081545907532827,3.2112881875830346,0.4946434199388761,0.8751575622283964
mod2bre,3.212316285684371,0.00810438192177143,3.216326102733145,3.2194297843059494,0.4947714813392515,0.8777348711156652
mod2bre,3.2204206676061427,0.008121853532142786,3.224485412607434,3.227566542579033,0.5004701186994924,0.8798330263664885
mod2bre,3.2285425211382854,0.008194006979842516,3.23261118454989,3.235697295732273,0.4965413651237453,0.8731716499129722
mod2bre,3.236736528118128,0.008110818198336478,3.240814071117555,3.2438788346522225,0.5027289355669647,0.8805901401611264
mod2bre,3.2448473463164644,0.008201834740281466,3.2489281685676574,3.2520112545382873,0.4975499239396954,0.8734519102950181
mod2bre,3.253049181056746,0.008110878876791627,3.257071411463121,3.260122268989501,0.4959056185494823,0.8720495078522024
mod2bre,3.2611600599335375,0.008112946332921034,3.265248645811727,3.26828598542052,0.5039582058614838,0.878340025258958
mod2bre,3.2692730062664586,0.008136191700928386,3.273333711410163,3.276387435923165,0.49909162578370897,0.874417653641873
mod2bre,3.277409197967387,0.008122172647874404,3.2814306864284437,3.2844703784798503,0.4951247203676717,0.8693708960140532
mod2bre,3.2855313706152613,0.008106757342604798,3.289508612312364,3.2926048749968952,0.49060820856206094,0.8725442347286416
mod2bre,3.293638127957866,0.008096085557042443,3.2976290851637997,3.3007404338969923,0.4929489909431602,0.8772518384453337
mod2bre,3.3017342135149086,0.008112284207626441,3.305721812566532,3.308739455481112,0.49155070872327156,0.8635350767935062
mod2bre,3.309846497722535,0.008091494919650444,3.3138231623545287,3.3169098065978337,0.4914622911442718,0.8729300265820165
mod2bre,3.3179379926421855,0.008064022573697649,3.3218998783496243,3.3250046891031544,0.4913038959441006,0.8763239929434591
mod2bre,3.326002015215883,0.008106801936916597,3.330011376594345,3.333086033711719,0.49456757543366137,0.8738363846755373
mod2bre,3.3341088171527997,0.00809934515641375,3.338128074668551,3.3411132120616256,0.49624475042511235,0.8648100276698538
mod2bre,3.3422081623092135,0.008124475347578208,3.346262788688342,3.349317144000288,0.4990631647786579,0.8750080943003181
mod2bre,3.3503326376567917,0.00806515695572374,3.354396611705146,3.3573904442552154,0.5038927414140645,0.8750984806829907
mod2bre,3.3583977946125154,0.008214153886696884,3.3625551868798187,3.3656146337287947,0.5061254420904285,0.8785858185548687
mod2bre,3.3666119484992123,0.008154987940204972,3.37072158492964,3.3737279735419436,0.5039414479286546,0.8725978621805891
